transaction_id,vin,fuel_liters,odometer_reading,timestamp
TXN1084,VIN0000,107.45,10401.38,2026-01-01 00:00:00
TXN7291,VIN0000,56.61,10949.17,2026-01-02 00:00:00
TXN5598,VIN0000,56.09,11198.77,2026-01-03 00:00:00
TXN5871,VIN0000,114.9,11728.04,2026-01-04 00:00:00
TXN1720,VIN0000,60.44,12083.83,2026-01-05 00:00:00
TXN7795,VIN0000,97.16,12295.84,2026-01-06 00:00:00
TXN6025,VIN0000,51.85,12751.06,2026-01-07 00:00:00
TXN1236,VIN0000,50.29,13205.52,2026-01-08 00:00:00
TXN5078,VIN0000,54.61,13761.44,2026-01-09 00:00:00
TXN5756,VIN0000,106.09,14067.47,2026-01-10 00:00:00
TXN1751,VIN0000,41.1,14428.48,2026-01-11 00:00:00
TXN3608,VIN0000,40.62,14907.58,2026-01-12 00:00:00
TXN5516,VIN0000,93.84,15314.52,2026-01-13 00:00:00
TXN8622,VIN0000,88.8,15517.49,2026-01-14 00:00:00
TXN2715,VIN0000,86.03,15989.55,2026-01-15 00:00:00
TXN8539,VIN0000,101.48,16303.89,2026-01-16 00:00:00
TXN3848,VIN0000,111.18,16573.61,2026-01-17 00:00:00
TXN4094,VIN0000,69.88,16942.2,2026-01-18 00:00:00
TXN5060,VIN0000,89.78,17349.19,2026-01-19 00:00:00
TXN1699,VIN0000,83.81,17718.05,2026-01-20 00:00:00
TXN2757,VIN0000,86.89,18024.89,2026-01-21 00:00:00
TXN9976,VIN0000,105.17,18610.54,2026-01-22 00:00:00
TXN6729,VIN0000,103.57,19118.42,2026-01-23 00:00:00
TXN5644,VIN0000,66.21,19485.24,2026-01-24 00:00:00
TXN9326,VIN0000,85.87,20081.24,2026-01-25 00:00:00
TXN7729,VIN0000,84.29,20384.02,2026-01-26 00:00:00
TXN1486,VIN0000,58.0,20680.2,2026-01-27 00:00:00
TXN7306,VIN0000,118.53,20885.63,2026-01-28 00:00:00
TXN2081,VIN0000,62.34,21400.25,2026-01-29 00:00:00
TXN6503,VIN0000,65.31,21748.38,2026-01-30 00:00:00
TXN3904,VIN0001,106.39,10371.31,2026-01-01 00:00:00
TXN7787,VIN0001,77.3,10714.91,2026-01-02 00:00:00
TXN7898,VIN0001,116.1,10953.08,2026-01-03 00:00:00
TXN2355,VIN0001,86.02,11385.41,2026-01-04 00:00:00
TXN8903,VIN0001,48.92,11923.65,2026-01-05 00:00:00
TXN6770,VIN0001,93.48,12411.44,2026-01-06 00:00:00
TXN7926,VIN0001,94.71,12937.1,2026-01-07 00:00:00
TXN6968,VIN0001,70.24,13467.87,2026-01-08 00:00:00
TXN4736,VIN0001,102.34,13875.28,2026-01-09 00:00:00
TXN3263,VIN0001,48.67,14229.6,2026-01-10 00:00:00
TXN5706,VIN0001,46.01,14714.25,2026-01-11 00:00:00
TXN8833,VIN0001,95.05,15179.04,2026-01-12 00:00:00
TXN8343,VIN0001,50.77,15616.27,2026-01-13 00:00:00
TXN5276,VIN0001,61.92,15827.38,2026-01-14 00:00:00
TXN1697,VIN0001,41.26,16090.92,2026-01-15 00:00:00
TXN5636,VIN0001,54.88,16633.06,2026-01-16 00:00:00
TXN7425,VIN0001,46.25,16881.65,2026-01-17 00:00:00
TXN3330,VIN0001,83.7,17245.15,2026-01-18 00:00:00
TXN3567,VIN0001,59.83,17753.12,2026-01-19 00:00:00
TXN7891,VIN0001,107.98,18110.9,2026-01-20 00:00:00
TXN6770,VIN0001,106.32,18609.43,2026-01-21 00:00:00
TXN9643,VIN0001,71.57,19028.94,2026-01-22 00:00:00
TXN7942,VIN0001,65.34,19486.04,2026-01-23 00:00:00
TXN9227,VIN0001,49.21,20021.34,2026-01-24 00:00:00
TXN4024,VIN0001,74.89,20531.02,2026-01-25 00:00:00
TXN5134,VIN0001,103.81,20911.84,2026-01-26 00:00:00
TXN3543,VIN0001,59.03,21352.38,2026-01-27 00:00:00
TXN2881,VIN0001,41.59,21626.56,2026-01-28 00:00:00
TXN3767,VIN0001,51.17,22195.18,2026-01-29 00:00:00
TXN4830,VIN0001,95.26,22459.36,2026-01-30 00:00:00
TXN2404,VIN0002,89.96,10313.45,2026-01-01 00:00:00
