vin,driver_id,start_timestamp,end_timestamp,daily_rate,region
VIN0000,DRV023,1767225600,1775174400,624,North
VIN0000,DRV009,1775174400,1778716800,376,North
VIN0001,DRV026,1767225600,1771977600,489,North
VIN0001,DRV016,1771977600,1780444800,413,South
VIN0002,DRV007,1767225600,1775606400,598,South
VIN0003,DRV005,1767225600,1774137600,510,West
VIN0004,DRV008,1767225600,1771027200,681,West
VIN0004,DRV014,1771027200,1775433600,579,East
VIN0004,DRV003,1775433600,1778371200,349,East
VIN0005,DRV020,1767225600,1774137600,526,South
VIN0005,DRV005,1774137600,1783036800,601,South
VIN0005,DRV018,1783036800,1792195200,375,North
VIN0006,DRV027,1767225600,1773792000,659,North
VIN0006,DRV018,1773792000,1780012800,634,East
VIN0006,DRV003,1780012800,1787356800,441,South
VIN0007,DRV004,1767225600,1776729600,590,South
VIN0007,DRV022,1776729600,1783900800,661,South
VIN0007,DRV024,1783900800,1787356800,589,West
VIN0008,DRV030,1767225600,1775779200,312,North
VIN0008,DRV021,1775779200,1780444800,584,East
VIN0008,DRV012,1780444800,1786665600,385,South
VIN0009,DRV010,1767225600,1772582400,341,East
VIN0010,DRV002,1767225600,1774915200,413,West
VIN0010,DRV010,1774915200,1780531200,570,East
VIN0011,DRV006,1767225600,1771891200,588,North
VIN0011,DRV015,1771891200,1776124800,484,West
VIN0011,DRV010,1776124800,1779926400,434,East
VIN0012,DRV027,1767225600,1771027200,451,East
VIN0012,DRV027,1771027200,1780876800,530,West
VIN0013,DRV003,1767225600,1777420800,649,East
VIN0013,DRV016,1777420800,1785888000,469,West
VIN0014,DRV006,1767225600,1773705600,569,North
VIN0014,DRV007,1773705600,1777852800,468,East
VIN0015,DRV019,1767225600,1770768000,523,East
VIN0015,DRV005,1770768000,1775865600,637,North
VIN0016,DRV030,1767225600,1776816000,380,North
VIN0016,DRV010,1776816000,1787184000,567,South
VIN0016,DRV020,1787184000,1796774400,462,North
VIN0017,DRV021,1767225600,1774569600,433,West
VIN0017,DRV024,1774569600,1783296000,386,North
VIN0018,DRV007,1767225600,1774742400,435,North
VIN0019,DRV014,1767225600,1775779200,372,East
VIN0019,DRV010,1775779200,1781827200,627,North
VIN0019,DRV030,1781827200,1785024000,683,South
VIN0020,DRV024,1767225600,1773964800,416,South
VIN0020,DRV008,1773964800,1777248000,657,West
VIN0021,DRV022,1767225600,1771545600,442,North
VIN0021,DRV013,1771545600,1777334400,421,East
VIN0021,DRV009,1777334400,1782432000,570,North
VIN0022,DRV010,1767225600,1770076800,422,North
VIN0022,DRV013,1770076800,1778457600,572,North
VIN0022,DRV017,1778457600,1781568000,475,West
VIN0023,DRV011,1767225600,1776297600,515,South
VIN0024,DRV015,1767225600,1773878400,343,South
VIN0024,DRV009,1773878400,1783296000,529,East
VIN0025,DRV021,1767225600,1774742400,629,North
VIN0025,DRV011,1774742400,1781222400,556,East
VIN0026,DRV021,1767225600,1774656000,535,South
VIN0027,DRV002,1767225600,1772150400,656,West
VIN0027,DRV016,1772150400,1780358400,645,North
VIN0028,DRV014,1767225600,1772064000,681,West
VIN0028,DRV018,1772064000,1780358400,438,North
VIN0029,DRV009,1767225600,1771286400,699,East
VIN0029,DRV001,1771286400,1779408000,349,East
VIN0029,DRV028,1779408000,1785801600,470,East
VIN0030,DRV010,1767225600,1774137600,700,North
VIN0030,DRV003,1774137600,1778544000,521,West
VIN0031,DRV020,1767225600,1777334400,471,West
VIN0032,DRV016,1767225600,1777420800,575,South
VIN0033,DRV025,1767225600,1771545600,694,North
VIN0033,DRV002,1771545600,1776643200,370,South
VIN0034,DRV009,1767225600,1773360000,597,East
VIN0035,DRV019,1767225600,1776038400,511,West
VIN0036,DRV002,1767225600,1774396800,424,North
VIN0037,DRV008,1767225600,1769817600,522,South
VIN0038,DRV005,1767225600,1773619200,348,West
VIN0038,DRV009,1773619200,1777507200,646,East
VIN0038,DRV008,1777507200,1783641600,587,South
VIN0039,DRV016,1767225600,1774396800,494,West
VIN0040,DRV027,1767225600,1775347200,640,East
VIN0040,DRV011,1775347200,1783209600,441,West
VIN0040,DRV025,1783209600,1787961600,303,East
VIN0041,DRV021,1767225600,1771977600,468,East
VIN0042,DRV029,1767225600,1775088000,358,West
VIN0042,DRV021,1775088000,1780012800,364,East
VIN0042,DRV015,1780012800,1788998400,354,East
VIN0043,DRV024,1767225600,1775692800,571,East
VIN0044,DRV012,1767225600,1771632000,451,West
VIN0044,DRV012,1771632000,1781049600,453,West
VIN0044,DRV003,1781049600,1790208000,606,South
VIN0045,DRV003,1767225600,1774137600,367,East
VIN0045,DRV003,1774137600,1779926400,550,West
VIN0046,DRV002,1767225600,1774051200,665,North
VIN0046,DRV027,1774051200,1780358400,368,South
VIN0047,DRV018,1767225600,1777593600,514,West
VIN0048,DRV014,1767225600,1773014400,545,North
VIN0048,DRV030,1773014400,1779753600,327,East
VIN0049,DRV007,1767225600,1775952000,593,North
