vin,model,mfg_year,fuel_type
VIN0000,Volvo VNL,2024,CNG
VIN0001,Ashok Leyland,2020,CNG
VIN0002,Ashok Leyland,2019,CNG
VIN0003,Ashok Leyland,2020,LNG
VIN0004,Isuzu N-Series,2023,LNG
VIN0005,Volvo VNL,2024,Diesel
VIN0006,Tata Prima,2024,Diesel
VIN0007,Isuzu N-Series,2024,CNG
VIN0008,Ashok Leyland,2021,CNG
VIN0009,Volvo VNL,2019,LNG
VIN0010,Tata Prima,2024,LNG
VIN0011,Volvo VNL,2022,Diesel
VIN0012,Ashok Leyland,2019,Diesel
VIN0013,Freightliner M2,2019,Diesel
VIN0014,Tata Prima,2024,LNG
VIN0015,Volvo VNL,2023,CNG
VIN0016,Isuzu N-Series,2023,CNG
VIN0017,Tata Prima,2018,LNG
VIN0018,Freightliner M2,2024,Diesel
VIN0019,Isuzu N-Series,2024,CNG
VIN0020,Volvo VNL,2021,CNG
VIN0021,Volvo VNL,2022,CNG
VIN0022,Tata Prima,2023,Diesel
VIN0023,Volvo VNL,2024,CNG
VIN0024,Tata Prima,2018,CNG
VIN0025,Tata Prima,2024,CNG
VIN0026,Ashok Leyland,2019,LNG
VIN0027,Volvo VNL,2018,LNG
VIN0028,Ashok Leyland,2023,LNG
VIN0029,Tata Prima,2021,CNG
VIN0030,Volvo VNL,2018,CNG
VIN0031,Isuzu N-Series,2024,CNG
VIN0032,Tata Prima,2018,Diesel
VIN0033,Isuzu N-Series,2022,LNG
VIN0034,Ashok Leyland,2022,LNG
VIN0035,Freightliner M2,2020,Diesel
VIN0036,Tata Prima,2021,LNG
VIN0037,Tata Prima,2021,Diesel
VIN0038,Isuzu N-Series,2024,CNG
VIN0039,Volvo VNL,2019,Diesel
VIN0040,Volvo VNL,2019,CNG
VIN0041,Isuzu N-Series,2018,Diesel
VIN0042,Volvo VNL,2024,Diesel
VIN0043,Volvo VNL,2021,LNG
VIN0044,Tata Prima,2023,CNG
VIN0045,Volvo VNL,2023,CNG
VIN0046,Isuzu N-Series,2019,LNG
VIN0047,Ashok Leyland,2023,Diesel
VIN0048,Volvo VNL,2020,LNG
VIN0049,Isuzu N-Series,2023,LNG
